id;name;shortname;logo;logo_content_type
1;mobile Fish;Home Loan ;../fake-data/blob/hipster.png;image/png
2;Trace;Savings Ac;../fake-data/blob/hipster.png;image/png
3;Tasty Metal Bacon;red Chips ;../fake-data/blob/hipster.png;image/png
4;Home Loan Account;web-readin;../fake-data/blob/hipster.png;image/png
5;Namibia;Steel zero;../fake-data/blob/hipster.png;image/png
6;Multi-channelled Licensed;grey Cambr;../fake-data/blob/hipster.png;image/png
7;Canyon HDD;Table Smal;../fake-data/blob/hipster.png;image/png
8;envisioneer Music Public-key;infomediar;../fake-data/blob/hipster.png;image/png
9;Investment Account;Games Regi;../fake-data/blob/hipster.png;image/png
10;copy convergence;Mayotte;../fake-data/blob/hipster.png;image/png
