id;name;manufacturer;capacity;architecture;debut_year;petrol_engine;diesel_engine;electric_engine;turbo;image;image_content_type
1;Berkshire;dedicated Persevering;97301;target Hum;79481;false;true;true;true;../fake-data/blob/hipster.png;image/png
2;Cambridgeshire white sensor;Alaska;76855;Intelligen;27956;true;true;false;true;../fake-data/blob/hipster.png;image/png
3;Factors;architectures;96665;Strategist;29444;false;false;false;true;../fake-data/blob/hipster.png;image/png
4;infrastructure;mesh;39469;calculatin;67114;true;false;false;false;../fake-data/blob/hipster.png;image/png
5;system-worthy portal;Belize Dollar Sudanese Pound real-time;29359;redundant;81011;false;true;true;true;../fake-data/blob/hipster.png;image/png
6;Avon;Auto Loan Account olive;7094;extend Unb;57886;false;false;true;true;../fake-data/blob/hipster.png;image/png
7;implementation;Wallis and Futuna;28654;Utah Compu;36019;true;false;false;true;../fake-data/blob/hipster.png;image/png
8;compress lavender Investment Account;backing up;19438;relationsh;13835;true;false;true;true;../fake-data/blob/hipster.png;image/png
9;card Licensed Cotton Ball;mindshare Gorgeous;2535;Brand;83598;false;true;true;false;../fake-data/blob/hipster.png;image/png
10;Salad;ROI;23978;Handmade T;93461;false;true;true;true;../fake-data/blob/hipster.png;image/png
