id;edition_year;short_event_name;long_event_name;event_date
1;73507;mobile intermediate;deliverables;2019-11-11
2;80683;Producer infrastructures;Robust Louisiana;2019-11-10
3;93075;SSL bandwidth;application Configurable iterate;2019-11-11
4;50525;navigating encoding;Fantastic Small Frozen Salad bypassing;2019-11-11
5;31931;Quality Applications Missouri;Practical Gorgeous;2019-11-11
6;32866;Danish Krone parse;neural Wooden Optimization;2019-11-10
7;5755;Austria mindshare EXE;bandwidth Liaison;2019-11-10
8;76151;Auto Loan Account Refined Practical;Centralized revolutionize International;2019-11-11
9;8134;Intelligent Planner;PCI SAS;2019-11-11
10;94724;Planner navigate repurpose;Buckinghamshire;2019-11-11
