id;name;shortname;session_start_time;duration
1;Beauty dynamic schemas;Pound Ster;2019-11-10T18:23:19;7620
2;Usability models New Mexico;markets Ac;2019-11-11T15:09:56;16483
3;portals;online Str;2019-11-11T01:59:30;74957
4;redefine transmitting;bypassing ;2019-11-11T06:17:42;13385
5;Movies;SMS;2019-11-10T20:44:29;53434
6;parse Customer Rhode Island;Accounts n;2019-11-11T05:26:16;20504
7;User-friendly;Savings Ac;2019-11-11T10:45:48;87822
8;calculate Fantastic Concrete Computer Baby;Kyrgyz Rep;2019-11-11T03:46:01;30777
9;connecting Planner Refined;engage Gra;2019-11-10T22:07:39;78466
10;payment digital;Rubber Ind;2019-11-11T02:05:34;63664
