id;name;logo;logo_content_type
1;Jamaica Unbranded;../fake-data/blob/hipster.png;image/png
2;real-time Berkshire solid state;../fake-data/blob/hipster.png;image/png
3;middleware Switzerland;../fake-data/blob/hipster.png;image/png
4;Data Granite Configuration;../fake-data/blob/hipster.png;image/png
5;compress Practical Steel Chips;../fake-data/blob/hipster.png;image/png
6;Berkshire concept;../fake-data/blob/hipster.png;image/png
7;Illinois robust;../fake-data/blob/hipster.png;image/png
8;Granite Rubber;../fake-data/blob/hipster.png;image/png
9;enable;../fake-data/blob/hipster.png;image/png
10;deposit Chicken best-of-breed;../fake-data/blob/hipster.png;image/png
