id;name;description;points;points_most_lead_laps;points_fast_lap;points_pole;points_lead_lap
1;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;3180;8870;54871;12063
2;Island cyan;Granite open architecture;Ergonomic Soft Shoes;62790;68778;8175;51165
3;Sausages streamline Home;primary quantify Chips;Guyana;92404;48452;23611;61825
4;back-end Roads bypass;Concrete;feed;89520;84444;51167;74961
5;Music ADP;Hungary Configurable;interface;18228;2007;56396;32207
6;blue internet solution Concrete;distributed Ranch impactful;Berkshire Awesome;53710;73682;58684;55774
7;Michigan Connecticut empower;customized payment;Grass-roots Cambridgeshire;33034;60577;93369;23722
8;Intelligent;24/7;Pizza blue;28509;80586;17337;5565
9;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;72289;66864;82086;92937
10;Nebraska Mississippi stable;mint green Director system;Buckinghamshire;24240;52984;11483;70723
