id;name;location;logo;logo_content_type
1;copy Awesome;Sausages Haven;../fake-data/blob/hipster.png;image/png
2;Checking Account frictionless;Rubber Awesome Frozen Mouse;../fake-data/blob/hipster.png;image/png
3;Trinidad and Tobago Dollar;Customer-focused;../fake-data/blob/hipster.png;image/png
4;Shoes Rubber Mall;users scalable;../fake-data/blob/hipster.png;image/png
5;transmitting parse infrastructures;matrix Implementation Shirt;../fake-data/blob/hipster.png;image/png
6;Mobility;Arizona synthesizing Fresh;../fake-data/blob/hipster.png;image/png
7;override back-end hacking;open-source;../fake-data/blob/hipster.png;image/png
8;payment National;HDD;../fake-data/blob/hipster.png;image/png
9;Tanzanian Shilling Lights;e-enable Plaza intranet;../fake-data/blob/hipster.png;image/png
10;convergence Idaho customized;synthesize Bahrain;../fake-data/blob/hipster.png;image/png
