id;name;shortname;organizer;logo;logo_content_type
1;vortals value-added;Salad Conn;Generic Advanced;../fake-data/blob/hipster.png;image/png
2;HDD Security Virginia;solid stat;Maine Checking Account markets;../fake-data/blob/hipster.png;image/png
3;Unbranded programming District;Concrete;Pizza yellow programming;../fake-data/blob/hipster.png;image/png
4;FTP;Persistent;Handmade Plastic Mouse neural;../fake-data/blob/hipster.png;image/png
5;Money Market Account;synergize;JSON National;../fake-data/blob/hipster.png;image/png
6;interactive capacitor;Idaho Groc;Concrete Towels Avon;../fake-data/blob/hipster.png;image/png
7;Automotive frame;Indiana de;Bedfordshire Strategist;../fake-data/blob/hipster.png;image/png
8;Towels applications;Zimbabwe;Bedfordshire;../fake-data/blob/hipster.png;image/png
9;application scale;indigo Nat;Expressway;../fake-data/blob/hipster.png;image/png
10;Tools Street;Arkansas r;Mountain Malaysia supply-chains;../fake-data/blob/hipster.png;image/png
