id;name;description;hq_location;logo;logo_content_type
1;circuit Forward;frictionless solution-oriented;distributed Computers;../fake-data/blob/hipster.png;image/png
2;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;../fake-data/blob/hipster.png;image/png
3;Agent Squares;supply-chains;Bedfordshire;../fake-data/blob/hipster.png;image/png
4;Peru withdrawal Down-sized;invoice;Liaison Tonga;../fake-data/blob/hipster.png;image/png
5;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;../fake-data/blob/hipster.png;image/png
6;calculating yellow;Wooden;Future;../fake-data/blob/hipster.png;image/png
7;pixel Phased payment;Towels Internal;seize generate;../fake-data/blob/hipster.png;image/png
8;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;../fake-data/blob/hipster.png;image/png
9;International card;West Virginia Keys;Factors Soft;../fake-data/blob/hipster.png;image/png
10;black Beauty;Soap;Refined Granite Sausages Savings Account extensible;../fake-data/blob/hipster.png;image/png
