id;name;logo;logo_content_type;letter_color;background_color
1;Course robust bricks-and-clicks;../fake-data/blob/hipster.png;image/png;Buckinghamshire Nepalese Rupee;Forge Licensed
2;auxiliary;../fake-data/blob/hipster.png;image/png;Engineer Toys Fantastic;Licensed
3;Marketing mobile Cayman Islands Dollar;../fake-data/blob/hipster.png;image/png;Computer Uzbekistan;input invoice calculate
4;Philippine Peso parsing Triple-buffered;../fake-data/blob/hipster.png;image/png;deposit Rand Namibia Dollar;Branding
5;Handcrafted Rubber Sausages;../fake-data/blob/hipster.png;image/png;Towels Mississippi Product;Metal
6;complexity Direct Administrator;../fake-data/blob/hipster.png;image/png;online program Refined Granite Gloves;quantifying Baby
7;one-to-one Connecticut;../fake-data/blob/hipster.png;image/png;Unbranded Tugrik;models streamline
8;projection Maldives;../fake-data/blob/hipster.png;image/png;withdrawal alarm Timor-Leste;Personal Loan Account Inverse
9;Track;../fake-data/blob/hipster.png;image/png;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt
10;Manor;../fake-data/blob/hipster.png;image/png;Utah zero defect;bypass e-services
